iter	Passed	Remaining
585	2582	1824
586	2588	1820
587	2592	1816
588	2595	1811
589	2599	1806
590	2603	1802
591	2608	1797
592	2614	1794
593	2619	1790
594	2624	1786
595	2629	1782
596	2634	1778
597	2639	1774
598	2644	1770
599	2648	1765
600	2653	1761
601	2657	1757
602	2663	1753
603	2668	1749
604	2672	1745
605	2677	1741
606	2682	1736
607	2686	1731
608	2690	1727
609	2695	1723
610	2700	1719
611	2704	1714
612	2710	1711
613	2715	1707
614	2720	1703
615	2725	1698
616	2730	1694
617	2734	1690
618	2738	1685
619	2743	1681
620	2747	1677
621	2753	1673
622	2758	1669
623	2762	1664
624	2768	1660
625	2773	1656
626	2778	1653
627	2784	1649
628	2790	1645
629	2795	1641
630	2801	1637
631	2806	1634
632	2811	1629
633	2817	1626
634	2822	1622
635	2827	1618
636	2832	1613
637	2836	1609
638	2842	1605
639	2847	1601
640	2853	1597
641	2858	1593
642	2863	1590
643	2868	1585
644	2873	1581
645	2879	1577
646	2884	1573
647	2889	1569
648	2894	1565
649	2899	1561
650	2904	1556
651	2910	1553
652	2914	1548
653	2919	1544
654	2925	1540
655	2930	1536
656	2935	1532
657	2940	1528
658	2946	1524
659	2952	1520
660	2957	1517
661	2962	1512
662	2967	1508
663	2973	1504
664	2978	1500
665	2985	1497
666	2990	1492
667	2996	1489
668	3001	1485
669	3007	1481
670	3012	1477
671	3017	1473
672	3023	1468
673	3027	1464
674	3033	1460
675	3038	1456
676	3042	1451
677	3046	1447
678	3051	1442
679	3056	1438
680	3060	1433
681	3066	1429
682	3070	1425
683	3074	1420
684	3079	1416
685	3083	1411
686	3088	1407
687	3093	1402
688	3098	1398
689	3102	1393
690	3108	1389
691	3112	1385
692	3115	1380
693	3120	1375
694	3124	1371
695	3129	1367
696	3135	1363
697	3139	1358
698	3144	1353
699	3148	1349
700	3153	1344
701	3157	1340
702	3161	1335
703	3167	1331
704	3171	1327
705	3175	1322
706	3180	1318
707	3185	1313
708	3190	1309
709	3194	1304
710	3199	1300
711	3204	1296
712	3209	1291
713	3214	1287
714	3218	1282
715	3223	1278
716	3227	1274
717	3233	1269
718	3237	1265
719	3241	1260
720	3245	1255
721	3251	1251
722	3255	1247
723	3260	1242
724	3264	1238
725	3268	1233
726	3272	1228
727	3277	1224
728	3281	1220
729	3286	1215
730	3291	1211
731	3295	1206
732	3300	1202
733	3305	1197
734	3311	1193
735	3316	1189
736	3320	1185
737	3326	1180
738	3330	1176
739	3335	1171
740	3339	1167
741	3343	1162
742	3347	1157
743	3352	1153
744	3357	1149
745	3361	1144
746	3365	1139
747	3370	1135
748	3374	1130
749	3378	1126
750	3383	1121
751	3388	1117
752	3393	1113
753	3399	1109
754	3404	1104
755	3408	1100
756	3413	1095
757	3418	1091
758	3423	1087
759	3428	1082
760	3434	1078
761	3438	1073
762	3443	1069
763	3446	1064
764	3451	1060
765	3455	1055
766	3460	1051
767	3465	1046
768	3470	1042
769	3474	1037
770	3478	1033
771	3482	1028
772	3486	1023
773	3492	1019
774	3497	1015
775	3502	1011
776	3508	1006
777	3513	1002
778	3518	998
779	3523	993
780	3527	989
781	3532	984
782	3537	980
783	3541	975
784	3546	971
785	3550	966
786	3556	962
787	3561	958
788	3566	953
789	3572	949
790	3577	945
791	3582	940
792	3586	936
793	3592	932
794	3596	927
795	3599	922
796	3604	918
797	3609	913
798	3614	909
799	3619	904
800	3624	900
801	3628	895
802	3633	891
803	3637	886
804	3641	882
805	3646	877
806	3651	873
807	3655	868
808	3659	864
809	3665	859
810	3668	854
811	3674	850
812	3679	846
813	3683	841
814	3688	837
815	3692	832
816	3696	828
817	3702	823
818	3707	819
819	3712	814
820	3717	810
821	3721	805
822	3725	801
823	3730	796
824	3735	792
825	3740	787
826	3744	783
827	3749	778
828	3754	774
829	3758	769
830	3763	765
831	3767	760
832	3772	756
833	3777	751
834	3781	747
835	3785	742
836	3790	738
837	3794	733
838	3800	729
839	3804	724
840	3809	720
841	3813	715
842	3817	711
843	3822	706
844	3826	701
845	3831	697
846	3836	693
847	3840	688
848	3845	683
849	3849	679
850	3854	674
851	3858	670
852	3863	665
853	3867	661
854	3872	656
855	3876	652
856	3882	647
857	3887	643
858	3892	638
859	3896	634
860	3900	629
861	3905	625
862	3910	620
863	3915	616
864	3919	611
865	3923	607
866	3928	602
867	3931	597
868	3937	593
869	3941	588
870	3947	584
871	3951	580
872	3956	575
873	3961	571
874	3966	566
875	3971	562
876	3975	557
877	3979	552
878	3985	548
879	3989	544
880	3993	539
881	3998	534
882	4004	530
883	4008	526
884	4014	521
885	4018	517
886	4022	512
887	4026	507
888	4031	503
889	4036	498
890	4041	494
891	4046	489
892	4049	485
893	4052	480
894	4056	475
895	4060	471
896	4066	466
897	4070	462
898	4074	457
899	4079	453
900	4083	448
901	4088	444
902	4093	439
903	4097	435
904	4102	430
905	4107	426
906	4112	421
907	4117	417
908	4122	412
909	4126	408
910	4131	403
911	4135	399
912	4140	394
913	4145	390
914	4150	385
915	4154	380
916	4158	376
917	4162	371
918	4167	367
919	4172	362
920	4176	358
921	4181	353
922	4187	349
923	4190	344
924	4194	340
925	4199	335
926	4204	331
927	4209	326
928	4212	321
929	4216	317
930	4221	312
931	4225	308
932	4230	303
933	4235	299
934	4239	294
935	4244	290
936	4248	285
937	4252	281
938	4257	276
939	4261	272
940	4265	267
941	4270	262
942	4274	258
943	4278	253
944	4282	249
945	4288	244
946	4293	240
947	4298	235
948	4303	231
949	4308	226
950	4312	222
951	4317	217
952	4322	213
953	4327	208
954	4331	204
955	4336	199
956	4341	195
957	4345	190
958	4349	185
959	4353	181
960	4356	176
961	4360	172
962	4365	167
963	4371	163
964	4376	158
965	4381	154
966	4386	149
967	4390	145
968	4393	140
969	4398	136
970	4403	131
971	4408	126
972	4412	122
973	4417	117
974	4421	113
975	4425	108
976	4430	104
977	4434	99
978	4439	95
979	4445	90
980	4451	86
981	4455	81
982	4459	77
983	4462	72
984	4466	68
985	4472	63
986	4478	58
987	4481	54
988	4485	49
989	4491	45
990	4497	40
991	4501	36
992	4505	31
993	4509	27
994	4516	22
995	4520	18
996	4524	13
997	4529	9
998	4536	4
999	4540	0
